Literature,Category,Variable,Unit,Trt_aCO2 ,Trt_eCO2 ,Trt_CO2_unit,Trt_aP,Trt_eP,Trt_P_unit,Sample Size,aCaP_mean,aCaP_pos,aCaP_neg,aCeP_mean,aCeP_pos,aCeP_neg,eCaP_mean,eCaP_pos,eCaP_neg,eCeP_mean,eCeP_pos,eCeP_neg,Confidence interval type,Species,Vegetation_type,Soil_weight_in_pot,Soil_weight_unit,Pot_volume ,Pot_volume_unit,Experiment_duration,Experimental_duration_unit,Mycorrhizae_Literature,Mycorrhizae,Soil_growth_condition,CO2_exposure_type
Jin et al. 2012,Concentration,Leaf N concentration ,mg g-1,350,550,ppm,13,21,mg P kg-1 soil,4,14.5,NA,NA,13.8,NA,NA,13.7,NA,NA,11.9,NA,NA,NA,Pisum sativum ,Nonwoody,8000,g,0.471238898,dm3,63,Days,Soudzilovshaia et al. 2019,AM,restricted,FACE
Jin et al. 2012,Concentration,Root N concentration,mg g-1,350,550,ppm,5,21,mg P kg-1 soil,4,17.6,NA,NA,20.2,NA,NA,17.6,NA,NA,17.1,NA,NA,NA,Pisum sativum ,Nonwoody,8000,g,0.471238898,dm3,63,Days,Soudzilovshaia et al. 2019,AM,restricted,FACE
Jin et al. 2012,Concentration,Root N concentration,mg g-1,350,550,ppm,7,21,mg P kg-1 soil,4,16.6,NA,NA,20.2,NA,NA,18.6,NA,NA,17.1,NA,NA,NA,Pisum sativum ,Nonwoody,8000,g,0.471238898,dm3,63,Days,Soudzilovshaia et al. 2019,AM,restricted,FACE
Jin et al. 2012,Concentration,Root N concentration,mg g-1,350,550,ppm,9,21,mg P kg-1 soil,4,18.8,NA,NA,20.2,NA,NA,17.8,NA,NA,17.1,NA,NA,NA,Pisum sativum ,Nonwoody,8000,g,0.471238898,dm3,63,Days,Soudzilovshaia et al. 2019,AM,restricted,FACE
Jin et al. 2012,Concentration,Root N concentration,mg g-1,350,550,ppm,13,21,mg P kg-1 soil,4,18.8,NA,NA,20.2,NA,NA,18.1,NA,NA,17.1,NA,NA,NA,Pisum sativum ,Nonwoody,8000,g,0.471238898,dm3,63,Days,Soudzilovshaia et al. 2019,AM,restricted,FACE
Jin et al. 2012,Biomass,Total plant N content,mg plant-1,350,550,ppm,5,21,mg P kg-1 soil,4,13.9,NA,NA,74.1,NA,NA,19.5,NA,NA,69.8,NA,NA,NA,Pisum sativum ,Nonwoody,8000,g,0.471238898,dm3,63,Days,Soudzilovshaia et al. 2019,AM,restricted,FACE
Jin et al. 2012,Biomass,Total plant N content,mg plant-1,350,550,ppm,7,21,mg P kg-1 soil,4,26.6,NA,NA,74.1,NA,NA,36.4,NA,NA,69.8,NA,NA,NA,Pisum sativum ,Nonwoody,8000,g,0.471238898,dm3,63,Days,Soudzilovshaia et al. 2019,AM,restricted,FACE
Jin et al. 2012,Biomass,Total plant N content,mg plant-1,350,550,ppm,9,21,mg P kg-1 soil,4,36,NA,NA,74.1,NA,NA,36.9,NA,NA,69.8,NA,NA,NA,Pisum sativum ,Nonwoody,8000,g,0.471238898,dm3,63,Days,Soudzilovshaia et al. 2019,AM,restricted,FACE
Jin et al. 2012,Biomass,Total plant N content,mg plant-1,350,550,ppm,13,21,mg P kg-1 soil,4,56.7,NA,NA,74.1,NA,NA,59.7,NA,NA,69.8,NA,NA,NA,Pisum sativum ,Nonwoody,8000,g,0.471238898,dm3,63,Days,Soudzilovshaia et al. 2019,AM,restricted,FACE
Jin et al. 2012,Nutrient Ratio,Total NP ratio,unitless,350,550,ppm,5,21,mg P kg-1 soil,4,11.95,NA,NA,7.44,NA,NA,12.14,NA,NA,6.44,NA,NA,NA,Pisum sativum ,Nonwoody,8000,g,0.471238898,dm3,63,Days,Soudzilovshaia et al. 2019,AM,restricted,FACE
Jin et al. 2012,Nutrient Ratio,Total NP ratio,unitless,350,550,ppm,7,21,mg P kg-1 soil,4,10.19,NA,NA,7.44,NA,NA,10.08,NA,NA,6.44,NA,NA,NA,Pisum sativum ,Nonwoody,8000,g,0.471238898,dm3,63,Days,Soudzilovshaia et al. 2019,AM,restricted,FACE
Jin et al. 2012,Nutrient Ratio,Total NP ratio,unitless,350,550,ppm,9,21,mg P kg-1 soil,4,8.45,NA,NA,7.44,NA,NA,8.23,NA,NA,6.44,NA,NA,NA,Pisum sativum ,Nonwoody,8000,g,0.471238898,dm3,63,Days,Soudzilovshaia et al. 2019,AM,restricted,FACE
Jin et al. 2012,Nutrient Ratio,Total NP ratio,unitless,350,550,ppm,13,21,mg P kg-1 soil,4,8.04,NA,NA,7.44,NA,NA,8.36,NA,NA,6.44,NA,NA,NA,Pisum sativum ,Nonwoody,8000,g,0.471238898,dm3,63,Days,Soudzilovshaia et al. 2019,AM,restricted,FACE
Whitehead et al. 1997,Biomass,Root biomass,g plant-1,355,539,ppm,0,20,kg P ha-1 yr-1,5,0.67,1.2,0.14,2.45,3.5,1.4,0.64,1.16,0.12,1.01,1.31,0.71,SE,Pteridium aquilinum,Nonwoody,NA,NA,NA,NA,190,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Whitehead et al. 1997,Gas Exchange,CO2 assimilation rate,umol m-2 s-1,355,539,ppm,0,20,kg P ha-1 yr-1,5,2.18,2.83,1.53,3.74,4.36,3.12,3.62,4.12,3.12,5.81,6.59,5.03,SE,Pteridium aquilinum,Nonwoody,NA,NA,NA,NA,190,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Whitehead et al. 1997,Resource Use Efficiency,WUE ,umol mol-1,355,539,ppm,0,20,kg P ha-1 yr-1,5,1.4,1.8,1,2.37,2.43,2.31,2.22,3.01,1.43,3.86,7.39,0.33,SE,Pteridium aquilinum,Nonwoody,NA,NA,NA,NA,190,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Lam et al. 2012,Biomass,Aboveground biomass ,g per pot,390,700,ppm,8.4,39.2,mg P pot-1,4,0.65,0.89,0.41,1.45,1.69,1.21,0.97,1.21,0.73,2.64,2.88,2.4,SD,Medicago truncatula,Nonwoody,1.4,kg,23,L,125,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Pandey et al. 2015,Biomass,Root biomass,mg plant-1,380,700,ppm,2,500,uM,3,11.65,12.32,10.98,8.69,9.35,8.03,24.78,25.78,23.78,10.22,11.11,9.33,SE,Secale cereale,Nonwoody,16,L,0.02025,dm3,15,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Tissue et al. 1993,Biomass,Leaf N content ,mg m-2,350,650,ppm,0.2,1,mol m-3 PO4,6,952,971.6,932.4,912.8,935.2,890.4,1017.8,1066.8,968.8,649.6,677.6,621.6,SE,Pinus taeda,Woody,NA,NA,24,dm3,730,Days,Soudzilovshaia et al. 2019,ECM,restricted,chambers
Lam et al. 2012,Biomass,Aboveground biomass ,g per pot,390,700,ppm,52,82.8,mg P pot-1,4,1.91,2.43,1.39,2.28,2.8,1.76,2.81,3.33,2.29,2.89,3.41,2.37,SD,Cicer arietinum,Nonwoody,2,kg,23,L,125,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Lam et al. 2012,Biomass,Aboveground biomass ,g per pot,390,700,ppm,8.4,39.2,mg P pot-1,4,1.5,2.31,0.69,2.07,2.88,1.26,2.04,2.85,1.23,3.26,4.07,2.45,SD,Pisum sativum,Nonwoody,1.4,kg,23,L,125,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Lam et al. 2012,Biomass,Aboveground biomass ,g per pot,390,700,ppm,21,77.7,mg P pot-1,4,6.56,NA,NA,15.37,NA,NA,8.1,NA,NA,18.17,NA,NA,NA,Cicer arietinum,Nonwoody,3.5,kg,42,L,125,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Lam et al. 2012,Biomass,Aboveground biomass ,g per pot,390,700,ppm,52,82.8,mg P pot-1,4,2.29,2.97,1.61,2.61,3.29,1.93,2.75,3.43,2.07,3.49,4.17,2.81,SD,Pisum sativum,Nonwoody,2,kg,23,L,125,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Walker et al. 1995,Biomass,Root biomass,g,350,525,ppm,18,68,ug P g-1 soil,3,0.15,0.18,0.12,0.21,0.25,0.17,0.21,0.26,0.16,0.28,0.34,0.22,SE,Pinus ponderosa,Woody,NA,NA,NA,NA,120,Days,Soudzilovshaia et al. 2019,ECM,restricted,chambers
Walker et al. 1995,Biomass,Root biomass,g,350,700,ppm,18,68,ug P g-1 soil,3,0.15,0.18,0.12,0.21,0.25,0.17,0.28,0.34,0.22,0.48,0.54,0.42,SE,Pinus ponderosa,Woody,NA,NA,NA,NA,120,Days,Soudzilovshaia et al. 2019,ECM,restricted,chambers
Walker et al. 1995,Biomass,Root biomass,g,350,525,ppm,43,68,ug P g-1 soil,3,0.28,0.31,0.25,0.21,0.25,0.17,0.23,0.25,0.21,0.28,0.34,0.22,SE,Pinus ponderosa,Woody,NA,NA,NA,NA,120,Days,Soudzilovshaia et al. 2019,ECM,restricted,chambers
Walker et al. 1995,Biomass,Root biomass,g,350,700,ppm,43,68,ug P g-1 soil,3,0.28,0.31,0.25,0.21,0.25,0.17,0.42,0.48,0.36,0.48,0.54,0.42,SE,Pinus ponderosa,Woody,NA,NA,NA,NA,120,Days,Soudzilovshaia et al. 2019,ECM,restricted,chambers
Walker et al. 1995,Morphology,Total root length ,cm,350,525,ppm,18,68,ug P g-1 soil,3,217,252,182,299,371,227,213,272,154,384,393,375,SE,Pinus ponderosa,Woody,NA,NA,NA,NA,120,Days,Soudzilovshaia et al. 2019,ECM,restricted,chambers
Walker et al. 1995,Morphology,Total root length ,cm,350,700,ppm,18,68,ug P g-1 soil,3,217,252,182,299,371,227,338,415,261,515,591,439,SE,Pinus ponderosa,Woody,NA,NA,NA,NA,120,Days,Soudzilovshaia et al. 2019,ECM,restricted,chambers
Walker et al. 1995,Morphology,Total root length ,cm,350,525,ppm,43,68,ug P g-1 soil,3,400,448,352,299,371,227,278,299,257,384,393,375,SE,Pinus ponderosa,Woody,NA,NA,NA,NA,120,Days,Soudzilovshaia et al. 2019,ECM,restricted,chambers
Walker et al. 1995,Morphology,Total root length ,cm,350,700,ppm,43,68,ug P g-1 soil,3,400,448,352,299,371,227,446,467,425,515,591,439,SE,Pinus ponderosa,Woody,NA,NA,NA,NA,120,Days,Soudzilovshaia et al. 2019,ECM,restricted,chambers
Lam et al. 2012,Biomass,Aboveground biomass ,g per pot,390,700,ppm,21,77.7,mg P pot-1,4,5.44,NA,NA,15.51,NA,NA,6.28,NA,NA,18.86,NA,NA,NA,Pisum sativum,Nonwoody,3.5,kg,42,L,125,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Lam et al. 2012,Biomass,Aboveground biomass ,g per pot,390,700,ppm,21,77.7,mg P pot-1,4,1.16,NA,NA,1.44,NA,NA,1.3,NA,NA,1.58,NA,NA,NA,Cicer arietinum,Nonwoody,3.5,kg,42,L,43,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Lam et al. 2012,Biomass,Aboveground biomass ,g per pot,390,700,ppm,21,77.7,mg P pot-1,4,6.11,NA,NA,12.68,NA,NA,6.67,NA,NA,18.4,NA,NA,NA,Cicer arietinum,Nonwoody,3.5,kg,42,L,97,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Lam et al. 2012,Biomass,Aboveground biomass ,g per pot,390,700,ppm,21,77.7,mg P pot-1,4,2.72,NA,NA,4.96,NA,NA,2.86,NA,NA,5.1,NA,NA,NA,Cicer arietinum,Nonwoody,3.5,kg,42,L,67,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Walker et al. 1995,Biomass,Root biomass,g,350,525,ppm,18,68,ug P g-1 soil,3,0.47,0.54,0.4,0.29,0.3,0.28,0.84,0.94,0.74,0.57,0.64,0.5,SE,Pinus ponderosa,Woody,NA,NA,NA,NA,240,Days,Soudzilovshaia et al. 2019,ECM,restricted,chambers
Walker et al. 1995,Biomass,Root biomass,g,350,700,ppm,18,68,ug P g-1 soil,3,0.47,0.54,0.4,0.29,0.3,0.28,0.48,0.52,0.44,0.66,0.69,0.63,SE,Pinus ponderosa,Woody,NA,NA,NA,NA,240,Days,Soudzilovshaia et al. 2019,ECM,restricted,chambers
Walker et al. 1995,Biomass,Root biomass,g,350,525,ppm,43,68,ug P g-1 soil,3,0.35,0.41,0.29,0.29,0.3,0.28,0.95,1.06,0.84,0.57,0.64,0.5,SE,Pinus ponderosa,Woody,NA,NA,NA,NA,240,Days,Soudzilovshaia et al. 2019,ECM,restricted,chambers
Walker et al. 1995,Biomass,Root biomass,g,350,700,ppm,43,68,ug P g-1 soil,3,0.35,0.41,0.29,0.29,0.3,0.28,0.61,0.69,0.53,0.66,0.69,0.63,SE,Pinus ponderosa,Woody,NA,NA,NA,NA,240,Days,Soudzilovshaia et al. 2019,ECM,restricted,chambers
Walker et al. 1995,Morphology,Total root length ,cm,350,525,ppm,18,68,ug P g-1 soil,3,446,509,383,412,440,384,1032,1134,930,510,522,498,SE,Pinus ponderosa,Woody,NA,NA,NA,NA,240,Days,Soudzilovshaia et al. 2019,ECM,restricted,chambers
Walker et al. 1995,Morphology,Total root length ,cm,350,700,ppm,18,68,ug P g-1 soil,3,446,509,383,412,440,384,589,658,520,813,939,687,SE,Pinus ponderosa,Woody,NA,NA,NA,NA,240,Days,Soudzilovshaia et al. 2019,ECM,restricted,chambers
Walker et al. 1995,Morphology,Total root length ,cm,350,525,ppm,43,68,ug P g-1 soil,3,407,463,351,412,440,384,962,1011,913,510,522,498,SE,Pinus ponderosa,Woody,NA,NA,NA,NA,240,Days,Soudzilovshaia et al. 2019,ECM,restricted,chambers
Walker et al. 1995,Morphology,Total root length ,cm,350,700,ppm,43,68,ug P g-1 soil,3,407,463,351,412,440,384,653,798,508,813,939,687,SE,Pinus ponderosa,Woody,NA,NA,NA,NA,240,Days,Soudzilovshaia et al. 2019,ECM,restricted,chambers
Lam et al. 2012,Biomass,Aboveground biomass ,g per pot,390,700,ppm,21,77.7,mg P pot-1,4,0.44,NA,NA,0.44,NA,NA,0.44,NA,NA,0.44,NA,NA,NA,Cicer arietinum,Nonwoody,3.5,kg,42,L,21,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Lam et al. 2012,Biomass,Aboveground biomass ,g per pot,390,700,ppm,21,77.7,mg P pot-1,4,0.58,NA,NA,0.58,NA,NA,0.58,NA,NA,0.58,NA,NA,NA,Pisum sativum,Nonwoody,3.5,kg,42,L,21,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Lam et al. 2012,Biomass,Aboveground biomass ,g per pot,390,700,ppm,21,77.7,mg P pot-1,4,2.3,NA,NA,5.24,NA,NA,2.16,NA,NA,6.08,NA,NA,NA,Pisum sativum,Nonwoody,3.5,kg,42,L,67,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Lam et al. 2012,Biomass,Aboveground biomass ,g per pot,390,700,ppm,21,77.7,mg P pot-1,4,6.11,NA,NA,16.04,NA,NA,5.13,NA,NA,17.16,NA,NA,NA,Pisum sativum,Nonwoody,3.5,kg,42,L,97,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Walker et al. 1995,Biomass,Root biomass,g,350,525,ppm,18,68,ug P g-1 soil,3,0.77,0.87,0.67,0.49,0.63,0.35,0.48,0.53,0.43,0.74,0.96,0.52,SE,Pinus ponderosa,Woody,NA,NA,NA,NA,365,Days,Soudzilovshaia et al. 2019,ECM,restricted,chambers
Walker et al. 1995,Biomass,Root biomass,g,350,700,ppm,18,68,ug P g-1 soil,3,0.77,0.87,0.67,0.49,0.63,0.35,0.94,1,0.88,0.73,0.74,0.72,SE,Pinus ponderosa,Woody,NA,NA,NA,NA,365,Days,Soudzilovshaia et al. 2019,ECM,restricted,chambers
Walker et al. 1995,Biomass,Root biomass,g,350,525,ppm,43,68,ug P g-1 soil,3,0.6,0.64,0.56,0.49,0.63,0.35,1.03,1.21,0.85,0.74,0.96,0.52,SE,Pinus ponderosa,Woody,NA,NA,NA,NA,365,Days,Soudzilovshaia et al. 2019,ECM,restricted,chambers
Walker et al. 1995,Biomass,Root biomass,g,350,700,ppm,43,68,ug P g-1 soil,3,0.6,0.64,0.56,0.49,0.63,0.35,0.92,1.28,0.56,0.73,0.74,0.72,SE,Pinus ponderosa,Woody,NA,NA,NA,NA,365,Days,Soudzilovshaia et al. 2019,ECM,restricted,chambers
Walker et al. 1995,Morphology,Total root length ,cm,350,525,ppm,18,68,ug P g-1 soil,3,596,665,527,606,830,382,594,727,461,948,1382,514,SE,Pinus ponderosa,Woody,NA,NA,NA,NA,365,Days,Soudzilovshaia et al. 2019,ECM,restricted,chambers
Walker et al. 1995,Morphology,Total root length ,cm,350,700,ppm,18,68,ug P g-1 soil,3,596,665,527,606,830,382,939,1044,834,789,916,662,SE,Pinus ponderosa,Woody,NA,NA,NA,NA,365,Days,Soudzilovshaia et al. 2019,ECM,restricted,chambers
Walker et al. 1995,Morphology,Total root length ,cm,350,525,ppm,43,68,ug P g-1 soil,3,751,811,691,606,830,382,1177,1343,1011,948,1382,514,SE,Pinus ponderosa,Woody,NA,NA,NA,NA,365,Days,Soudzilovshaia et al. 2019,ECM,restricted,chambers
Walker et al. 1995,Morphology,Total root length ,cm,350,700,ppm,43,68,ug P g-1 soil,3,751,811,691,606,830,382,870,1021,719,789,916,662,SE,Pinus ponderosa,Woody,NA,NA,NA,NA,365,Days,Soudzilovshaia et al. 2019,ECM,restricted,chambers
Pandey et al. 2015,Biomass,Total plant biomass ,mg plant-1,380,700,ppm,2,500,uM,3,49.97,53.75,46.19,73.37,79.84,66.9,75.19,79.5,70.88,83.8,86.72,80.88,SE,Secale cereale,Nonwoody,16,L,0.02025,dm3,15,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Pandey et al. 2015,Morphology,Leaf area,cm-2,380,700,ppm,2,500,uM,3,3.69,4.3,3.08,7.03,7.09,6.97,5.28,5.64,4.92,12.18,12.61,11.75,SE,Secale cereale,Nonwoody,16,L,0.02025,dm3,15,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Pandey et al. 2015,Morphology,Total root length,cm plant-1,380,700,ppm,2,500,uM,3,23.57,24.38,22.76,23.43,24.24,22.62,27.34,28.15,26.53,22.63,23.57,21.69,SE,Secale cereale,Nonwoody,16,L,0.02025,dm3,15,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Pandey et al. 2015,Concentration,Root P concentration ,mg g-1 DW,380,700,ppm,2,500,uM,3,0.27,0.271,0.269,0.18,0.181,0.179,0.55,0.551,0.549,1.81,1.811,1.809,SE,Secale cereale,Nonwoody,16,L,0.02025,dm3,15,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Pandey et al. 2015,Concentration,Leaf P concentration ,mg g-1 DW,380,700,ppm,2,500,uM,3,0.71,0.711,0.709,2.98,2.981,2.979,0.34,0.341,0.339,3.01,3.09,2.93,SE,Secale cereale,Nonwoody,16,L,0.02025,dm3,15,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Pandey et al. 2015,Biomass,Total plant P content ,mg/plant,380,700,ppm,2,500,uM,3,0.035,0.04,0.03,0.19,0.2,0.18,0.02,0.021,0.019,0.23,0.24,0.22,SE,Secale cereale,Nonwoody,16,L,0.02025,dm3,15,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Pandey et al. 2015,Resource Use Efficiency,PUE ,g dw mg-1 P,380,700,ppm,2,500,uM,3,1.61,1.611,1.609,0.38,0.381,0.379,2.47,2.52,2.42,0.36,0.361,0.359,SE,Secale cereale,Nonwoody,16,L,0.02025,dm3,15,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Pandey et al. 2015,Concentration,Total plant P concentration,mg P mg-1,380,700,ppm,2,500,uM,3,0.00070042,0.000744186,0.000649491,0.002589614,0.002690583,0.00250501,0.000265993,0.000282167,0.000251572,0.00274463,0.002767528,0.002720079,SE,Secale cereale,Nonwoody,16,L,0.02025,dm3,15,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Pandey et al. 2015,Morphology,LMA,mg cm-2,380,700,ppm,2,500,uM,3,10.78861789,11.86688312,10.01627907,9.052631579,9.782792666,8.30989957,9.6875,9.713414634,9.664893617,6.02134647,6.075337034,5.963404255,SE,Secale cereale,Nonwoody,16,L,0.02025,dm3,15,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Pandey et al. 2015,Morphology,SLA,cm2 mg-1,380,700,ppm,2,500,uM,3,0.092690279,0.099837474,0.084268126,0.110465116,0.120338398,0.1022203,0.103225806,0.103467254,0.102950408,0.166075811,0.167689453,0.164599922,SE,Secale cereale,Nonwoody,16,L,0.02025,dm3,15,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Pandey et al. 2015,Biomass,Leaf P content,mg P mg-1 C,380,700,ppm,2,500,uM,3,0.0282651,0.0305797,0.0259505,0.1896472,0.2066928,0.1726016,0.017391,0.0185334,0.0162486,0.2207534,0.2367249,0.2053051,SE,Secale cereale,Nonwoody,16,L,0.02025,dm3,15,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Pandey et al. 2015,Biomass,Root P content,mg P mg-1 C,380,700,ppm,2,500,uM,3,0.0031455,0.0033264,0.0029646,0.0015642,0.001683,0.0014454,0.013629,0.014179,0.013079,0.0184982,0.0201091,0.0168873,SE,Secale cereale,Nonwoody,16,L,0.02025,dm3,15,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Fleisher et al. 2012,Biomass,Total plant biomass ,g plant-1,400,800,ppm,0.2,1.8,g pot-1,4,27,NA,NA,54,NA,NA,21,NA,NA,59,NA,NA,NA,Solanum tuberosum,Nonwoody,NA,NA,16,L,63,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Fleisher et al. 2012,Biomass,Total plant biomass ,g plant-1,400,800,ppm,0.61,1.8,g pot-1,4,48,NA,NA,54,NA,NA,66,NA,NA,59,NA,NA,NA,Solanum tuberosum,Nonwoody,NA,NA,16,L,63,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Fleisher et al. 2012,Biomass,Total plant biomass ,g plant-1,400,800,ppm,0.2,1.8,g pot-1,4,38,NA,NA,85,NA,NA,43,NA,NA,107,NA,NA,NA,Solanum tuberosum,Nonwoody,NA,NA,16,L,56,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Fleisher et al. 2012,Biomass,Total plant biomass ,g plant-1,400,800,ppm,1.2,1.8,g pot-1,4,79,NA,NA,85,NA,NA,83,NA,NA,107,NA,NA,NA,Solanum tuberosum,Nonwoody,NA,NA,16,L,56,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Fleisher et al. 2012,Biomass,Leaf biomass,g plant-1,400,800,ppm,0.2,1.8,g pot-1,4,4.8,NA,NA,11.1,NA,NA,6.1,NA,NA,12.5,NA,NA,NA,Solanum tuberosum,Nonwoody,NA,NA,16,L,63,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Conroy et al. 1992,Concentration,Total plant P concentration ,%,340,660,ppm,23,920,mg P kg-1 soil,4,0.003846154,NA,NA,0.003846154,NA,NA,0.002255639,NA,NA,0.003846154,NA,NA,NA,Eucalyptus grandis,Woody,1100,g,NA,NA,42,Days,Soudzilovshaia et al. 2019,ECM-AM,Restricted,Chambers
Conroy et al. 1992,Concentration,Total plant P concentration ,%,340,660,ppm,76,920,mg P kg-1 soil,4,0.002941176,NA,NA,0.003846154,NA,NA,0.003490566,NA,NA,0.003846154,NA,NA,NA,Eucalyptus grandis,Woody,1100,g,NA,NA,42,Days,Soudzilovshaia et al. 2019,ECM-AM,Restricted,Chambers
Conroy et al. 1992,Concentration,Total plant P concentration ,%,340,660,ppm,230,920,mg P kg-1 soil,4,0.003846154,NA,NA,0.003846154,NA,NA,0.003846154,NA,NA,0.003846154,NA,NA,NA,Eucalyptus grandis,Woody,1100,g,NA,NA,42,Days,Soudzilovshaia et al. 2019,ECM-AM,Restricted,Chambers
Fleisher et al. 2012,Biomass,Leaf biomass,g plant-1,400,800,ppm,0.61,1.8,g pot-1,4,11.1,NA,NA,11.1,NA,NA,14.7,NA,NA,12.5,NA,NA,NA,Solanum tuberosum,Nonwoody,NA,NA,16,L,63,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Fleisher et al. 2012,Biomass,Leaf biomass,g plant-1,400,800,ppm,0.2,1.8,g pot-1,4,10.3,NA,NA,36.1,NA,NA,9.9,NA,NA,38.7,NA,NA,NA,Solanum tuberosum,Nonwoody,NA,NA,16,L,56,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Fleisher et al. 2012,Biomass,Leaf biomass,g plant-1,400,800,ppm,1.2,1.8,g pot-1,4,23.1,NA,NA,36.1,NA,NA,22.8,NA,NA,38.7,NA,NA,NA,Solanum tuberosum,Nonwoody,NA,NA,16,L,56,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Fleisher et al. 2012,Biomass,Stem biomass ,g plant-1,400,800,ppm,0.2,1.8,g pot-1,4,2.8,NA,NA,5.2,NA,NA,3.1,NA,NA,6.1,NA,NA,NA,Solanum tuberosum,Nonwoody,NA,NA,16,L,63,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Fleisher et al. 2012,Biomass,Stem biomass ,g plant-1,400,800,ppm,0.61,1.8,g pot-1,4,5,NA,NA,5.2,NA,NA,6.4,NA,NA,6.1,NA,NA,NA,Solanum tuberosum,Nonwoody,NA,NA,16,L,63,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Fleisher et al. 2012,Biomass,Stem biomass ,g plant-1,400,800,ppm,0.2,1.8,g pot-1,4,3.6,NA,NA,25.3,NA,NA,3.5,NA,NA,29.6,NA,NA,NA,Solanum tuberosum,Nonwoody,NA,NA,16,L,56,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Fleisher et al. 2012,Biomass,Stem biomass ,g plant-1,400,800,ppm,1.2,1.8,g pot-1,4,11.6,NA,NA,25.3,NA,NA,10.9,NA,NA,29.6,NA,NA,NA,Solanum tuberosum,Nonwoody,NA,NA,16,L,56,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Fleisher et al. 2012,Biomass,Root biomass,g plant-1,400,800,ppm,0.2,1.8,g pot-1,4,5.8,NA,NA,6.2,NA,NA,3.7,NA,NA,9.1,NA,NA,NA,Solanum tuberosum,Nonwoody,NA,NA,16,L,63,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Fleisher et al. 2012,Biomass,Root biomass,g plant-1,400,800,ppm,0.61,1.8,g pot-1,4,7.4,NA,NA,6.2,NA,NA,8.1,NA,NA,9.1,NA,NA,NA,Solanum tuberosum,Nonwoody,NA,NA,16,L,63,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Fleisher et al. 2012,Biomass,Root biomass,g plant-1,400,800,ppm,0.2,1.8,g pot-1,4,6.3,NA,NA,10.4,NA,NA,7.1,NA,NA,11.1,NA,NA,NA,Solanum tuberosum,Nonwoody,NA,NA,16,L,56,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Fleisher et al. 2012,Biomass,Root biomass,g plant-1,400,800,ppm,1.2,1.8,g pot-1,4,9.2,NA,NA,10.4,NA,NA,7.2,NA,NA,11.1,NA,NA,NA,Solanum tuberosum,Nonwoody,NA,NA,16,L,56,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Fleisher et al. 2012,Morphology,Leaf area,cm2 plant-1,400,800,ppm,0.2,1.8,g pot-1,4,365,NA,NA,1649,NA,NA,503,NA,NA,2117,NA,NA,NA,Solanum tuberosum,Nonwoody,NA,NA,16,L,63,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
